"ID","COUNTRY","CITY","VALUE_01","VALUE_02","VALUE_03","VALUE_04","VALUE_05","VALUE_06","VALUE_07","VALUE_08","VALUE_09","VALUE_10","VALUE_11","VALUE_12","VALUE_13","VALUE_14","VALUE_15","VALUE_16","VALUE_17","VALUE_18","VALUE_19","VALUE_20","VALUE_21","VALUE_22","VALUE_23","VALUE_24","VALUE_25","VALUE_26","VALUE_27","VALUE_28","VALUE_29","VALUE_30","VALUE_31","VALUE_32","VALUE_33","VALUE_34","VALUE_35","VALUE_36","VALUE_37","VALUE_38","VALUE_39","VALUE_40","VALUE_41","VALUE_42","VALUE_43","VALUE_44","VALUE_45","VALUE_46","VALUE_47","VALUE_48","VALUE_49","VALUE_50","VALUE_51","VALUE_52","VALUE_53","VALUE_54","VALUE_55"
"353","Poland","Gdansk","5.83","27.99","4.2","2.1","2.33","2.15","1.07","0.86","0.6","0.67","0.83","1.96","5.63","3.83","7.62","0.74","1.02","1.1","1.35","0.54","0.59","0.67","0.45","4.9","0.77","1.2","3.73","0.75","21.92","1.63","0.56","8.4","1.18","18331.85","17155.98","177.14","0.07","13.03","28.14","11.26","4.66","189.73","3606.58","72.74","32.4","71.2","84.68","550.25","404.56","892.83","650.22","2836.94","1780.19","805.8","4.34"
"385","Italy","Bari","14.0","45.0","7.0","4.0","3.0","1.2","1.56","0.68","1.12","1.12","2.0","1.84","11.5","7.5","12.5","1.43","1.56","1.33","1.64","0.93","1.15","1.0","0.38","5.0","0.97","1.35","5.6","1.0","30.0","7.0","2.0","20.0","1.54","16000.0","20000.0","116.72","0.08","27.1","40.62","11.67","7.0","254.0",,"67.5","30.0","70.0","93.0","487.5","350.0","735.71","578.57","2740.0","1980.0","1250.0","2.08"
"386","Brazil","Recife","4.2","16.8","5.88","1.68","2.1","1.66","1.05","0.61","0.8","1.0","0.74","1.15","5.17","3.36","5.57","1.33","1.26","1.26","1.89","0.84","0.63","0.84","1.09","5.15","1.89","3.22","2.73","0.72","33.6","1.08","0.63","3.7","0.93","19847.02","19952.03","59.74","0.28","24.72","17.04","25.73","6.3","198.02","6111.62","36.94","31.25","60.08","45.25","248.09","171.96","498.8","357.04","1449.15","819.08","276.77","9.5"
"387","Croatia","Pula","8.05","30.2","5.1","2.42","2.42","1.45","2.05","1.41","0.85","0.86","2.01","2.8","12.08","9.84","16.38","1.65","1.74","1.54","1.41","0.94","0.54","0.98","1.07","5.37","1.07","1.58","3.83","1.48","30.87","2.01","0.74","5.37","1.34","19192.58","19192.58","128.19","0.09","26.0","30.7","10.07","4.7","123.03","2684.28","58.16","28.52","69.62","60.4","323.56","271.16","537.74","438.43","1669.02","1239.72","726.99","4.18"
"388","Poland","Lodz","4.66","23.32","4.2","1.75","1.52","1.71","0.98","0.76","0.55","0.62","0.84","1.72","5.35","3.76","7.11","0.67","0.99","1.07","1.36","0.51","0.82","0.72","0.44","4.66","0.68","0.98","3.73","0.65","20.99","1.4","0.47","8.4","1.16","18331.85","17550.53","173.27","0.06","12.47","25.47","10.56","5.95","222.4","2733.45","61.46","29.92","62.92","65.93","374.49","286.6","598.62","478.12","1372.0","1090.09","682.11","3.83"
"389","Morocco","Agadir","4.75","14.25","4.75","2.85","4.75","1.31","0.53","0.28","0.66","0.43","1.05","1.14","7.25","4.51","7.32","1.1","0.86","0.53","0.36","0.4","0.34","0.35","0.49","4.66","0.78","1.52","3.09","0.38","12.83","0.57","0.57","1.9","0.99","19478.64","17133.29","31.18","0.14","29.47","19.58","15.2","4.75","70.31","1596.3","23.36","34.05","52.69","47.51","245.46","149.44","423.62","224.88","1265.14","654.12","306.77","6.7"
"390","Croatia","Varazdin","6.71","24.16","5.37","1.81","2.35","1.34","1.7","1.21","0.83","0.85","1.57","2.09","6.88","6.97","8.72","1.08","1.45","1.07","1.58","0.63","0.73","0.76","0.93","4.7","1.1","1.61","3.89","1.68","26.84","2.35","0.67","5.37","1.35","19863.65","19731.06","161.93","0.11","20.8","28.52","8.05","5.03","116.32","2684.28","67.11","30.48","67.11","79.63","228.16","223.07","469.75","348.96","1303.96","1003.3","499.95","4.05"
"417","Russia","Novosibirsk","5.61","21.58","3.6","1.08","2.16","1.85","0.67","0.5","0.82","0.48","0.94","0.98","7.02","3.7","6.55","1.45","1.08","1.29","1.77","0.37","0.37","0.62","0.48","5.76","0.88","1.47","1.87","0.32","11.51","1.44","0.14","4.32","0.63","18992.34","17855.68","90.23","0.03","7.93","27.13","16.2","4.32","216.38","2566.27","63.61","39.48","80.92","79.13","337.9","219.93","622.44","396.87","1256.22","771.59","427.48","10.78"
"418","Trinidad And Tobago","Trinidad","6.13","54.51","5.45","1.36","2.11","2.43","0.86","0.68","1.59","1.67","2.59","3.09","2.79","6.98","9.18","4.22","1.84","3.44","4.77","0.89","0.89","1.36","1.16","14.99","1.32","3.27","4.91","0.68","32.71","0.68","0.68","0.68","0.69","27119.67","30208.68","37.48","0.12","31.89","43.44","3.18","6.81","535.72","15573.53","57.07","36.25","102.21","65.87","658.69","408.84","1612.64","885.82","458.61","408.84","806.32","3.0"
"419","Philippines","Mandaluyong","2.72","9.96","2.72","0.91","1.81","1.99","0.69","0.41","1.36","0.96","0.88","1.53","3.53","2.84","3.8","1.57","1.9","1.81","0.91","1.22","2.22","1.99","1.0","10.87","1.0","1.6","1.78","0.22","9.06","0.72",,"2.17","0.97","24456.09","23791.85","159.64","0.2","32.61","33.21","12.68","6.52",,"2536.19","47.7","29.44","83.33","51.33","263.97","177.53","611.4","422.7","1538.66","1120.59","326.08","7.5"
