"ID","COUNTRY"
"200","Papua New Guinea"
"201","Cambodia"
"202","Kazakhstan"
"203","Paraguay"
"204","Syria"
"205","Bahamas"
"206","Mali"
"207","Marshall Islands"
"208","Panama"
"209","Laos"
"210","Argentina"
"211","Isle Of Man"
"212","Seychelles"
"213","Belize"
"214","Zambia"
"215","Bahrain"
"216","Congo"
"217","Namibia"
"218","Faroe Islands"
"219","Finland"
"220","Palestinian Territory"
"221","Georgia"
"222","Yemen"
"223","Puerto Rico"
"224","Aruba"
"225","Madagascar"
"226","Ivory Coast"
"227","Libya"
"228","Sweden"
"229","Malawi"
"230","Andorra"
"231","Poland"
"232","Bulgaria"
"233","Jordan"
"234","Tunisia"
"235","United Arab Emirates"
"236","Kenya"
"237","French Polynesia"
"238","Brunei"
"239","Djibouti"
"240","Lebanon"
"241","Azerbaijan"
"242","Cuba"
"243","Czech Republic"
"244","Mauritania"
"245","Saint Lucia"
"246","Guernsey"
"247","Israel"
"248","Australia"
"249","Tajikistan"
"250","Myanmar"
"251","Cameroon"
"252","Gibraltar"
"253","Cyprus"
"254","Northern Mariana Islands"
"255","Malaysia"
"256","Iceland"
"257","Oman"
"258","Bosnia And Herzegovina"
"259","Armenia"
"260","Gabon"
"261","Luxembourg"
"262","Brazil"
"263","Algeria"
"264","Jersey"
"265","Slovenia"
"266","Colombia"
"267","Ecuador"
"268","Moldova"
"269","Vanuatu"
"270","Honduras"
"271","Italy"
"272","Haiti"
"273","Afghanistan"
"274","Burundi"
"275","Singapore"
"276","Russia"
"277","Netherlands"
"278","China"
"279","Sint Maarten"
"280","Kyrgyzstan"
"281","Reunion"
"282","Bhutan"
"283","Romania"
"284","Togo"
"285","Philippines"
"286","Uzbekistan"
"287","British Virgin Islands"
"288","Zimbabwe"
"289","Montenegro"
"290","Dominica"
"291","Indonesia"
"292","Angola"
"293","Sudan"
"294","Portugal"
"295","New Caledonia"
"296","Grenada"
"297","Cayman Islands"
"298","Greece"
"299","Latvia"
"300","Mongolia"
"301","Iran"
"302","Morocco"
"303","Guatemala"
"304","Guyana"
"305","Iraq"
"306","Chile"
"307","Nepal"
"308","Tanzania"
"309","Ukraine"
"310","Ghana"
"311","India"
"312","Canada"
"313","Maldives"
"314","Turkey"
"315","Belgium"
"316","Taiwan"
"317","South Africa"
"318","Bermuda"
"319","Aland Islands"
"320","Jamaica"
"321","Peru"
"322","Turkmenistan"
"323","Germany"
"324","Fiji"
"325","Hong Kong"
"326","United States"
"327","Chad"
"328","Somalia"
"329","Thailand"
"330","Costa Rica"
"331","Vietnam"
"332","Kuwait"
"333","Nigeria"
"334","Croatia"
"335","Cook Islands"
"336","Sri Lanka"
"337","Uruguay"
"338","Timor-Leste"
"339","United Kingdom"
"340","Switzerland"
"341","Samoa"
"342","Spain"
"343","Liberia"
"344","Venezuela"
"345","Burkina Faso"
"346","Swaziland"
"347","Turks And Caicos Islands"
"348","Estonia"
"349","Austria"
"350","South Korea"
"351","Mozambique"
"352","El Salvador"
"353","Monaco"
"354","Guam"
"355","Lesotho"
"356","Tonga"
"357","Kosovo (Disputed Territory)"
"358","Hungary"
"359","South Sudan"
"360","Japan"
"361","Us Virgin Islands"
"362","Belarus"
"363","Curacao"
"364","Mauritius"
"365","Albania"
"366","Trinidad And Tobago"
"367","New Zealand"
"368","Senegal"
"369","Macedonia"
"370","Ethiopia"
"371","Egypt"
"372","Bolivia"
"373","Malta"
"374","Saudi Arabia"
"375","Cape Verde"
"376","Pakistan"
"377","Gambia"
"378","Ireland"
"379","Qatar"
"380","Slovakia"
"381","France"
"382","Lithuania"
"383","Serbia"
"384","Rwanda"
"385","Saint Kitts And Nevis"
"386","Bangladesh"
"387","Barbados"
"388","Nicaragua"
"389","Norway"
"390","Botswana"
"391","Macao"
"392","Denmark"
"393","Dominican Republic"
"394","Mexico"
"395","Uganda"
"396","Suriname"
"397","Greenland"
"398","Antigua And Barbuda"
