"ID","COUNTRY"
"1","Papua New Guinea"
"2","Cambodia"
"3","Kazakhstan"
"4","Paraguay"
"5","Syria"
"6","Bahamas"
"7","Mali"
"8","Marshall Islands"
"9","Panama"
"10","Laos"
"11","Argentina"
"12","Isle Of Man"
"13","Seychelles"
"14","Belize"
"15","Zambia"
"16","Bahrain"
"17","Congo"
"18","Namibia"
"19","Faroe Islands"
"20","Finland"
"21","Palestinian Territory"
"22","Georgia"
"23","Yemen"
"24","Puerto Rico"
"25","Aruba"
"26","Madagascar"
"27","Ivory Coast"
"28","Libya"
"29","Sweden"
"30","Malawi"
"31","Andorra"
"32","Poland"
"33","Bulgaria"
"34","Jordan"
"35","Tunisia"
"36","United Arab Emirates"
"37","Kenya"
"38","French Polynesia"
"39","Brunei"
"40","Djibouti"
"41","Lebanon"
"42","Azerbaijan"
"43","Cuba"
"44","Czech Republic"
"45","Mauritania"
"46","Saint Lucia"
"47","Guernsey"
"48","Israel"
"49","Australia"
"50","Tajikistan"
"51","Myanmar"
"52","Cameroon"
"53","Gibraltar"
"54","Cyprus"
"55","Northern Mariana Islands"
"56","Malaysia"
"57","Iceland"
"58","Oman"
"59","Bosnia And Herzegovina"
"60","Armenia"
"61","Gabon"
"62","Luxembourg"
"63","Brazil"
"64","Algeria"
"65","Jersey"
"66","Slovenia"
"67","Colombia"
"68","Ecuador"
"69","Moldova"
"70","Vanuatu"
"71","Honduras"
"72","Italy"
"73","Haiti"
"74","Afghanistan"
"75","Burundi"
"76","Singapore"
"77","Russia"
"78","Netherlands"
"79","China"
"80","Sint Maarten"
"81","Kyrgyzstan"
"82","Reunion"
"83","Bhutan"
"84","Romania"
"85","Togo"
"86","Philippines"
"87","Uzbekistan"
"88","British Virgin Islands"
"89","Zimbabwe"
"90","Montenegro"
"91","Dominica"
"92","Indonesia"
"93","Angola"
"94","Sudan"
"95","Portugal"
"96","New Caledonia"
"97","Grenada"
"98","Cayman Islands"
"99","Greece"
"100","Latvia"
"101","Mongolia"
"102","Iran"
"103","Morocco"
"104","Guatemala"
"105","Guyana"
"106","Iraq"
"107","Chile"
"108","Nepal"
"109","Tanzania"
"110","Ukraine"
"111","Ghana"
"112","India"
"113","Canada"
"114","Maldives"
"115","Turkey"
"116","Belgium"
"117","Taiwan"
"118","South Africa"
"119","Bermuda"
"120","Aland Islands"
"121","Jamaica"
"122","Peru"
"123","Turkmenistan"
"124","Germany"
"125","Fiji"
"126","Hong Kong"
"127","United States"
"128","Chad"
"129","Somalia"
"130","Thailand"
"131","Costa Rica"
"132","Vietnam"
"133","Kuwait"
"134","Nigeria"
"135","Croatia"
"136","Cook Islands"
"137","Sri Lanka"
"138","Uruguay"
"139","Timor-Leste"
"140","United Kingdom"
"141","Switzerland"
"142","Samoa"
"143","Spain"
"144","Liberia"
"145","Venezuela"
"146","Burkina Faso"
"147","Swaziland"
"148","Turks And Caicos Islands"
"149","Estonia"
"150","Austria"
"151","South Korea"
"152","Mozambique"
"153","El Salvador"
"154","Monaco"
"155","Guam"
"156","Lesotho"
"157","Tonga"
"158","Kosovo (Disputed Territory)"
"159","Hungary"
"160","South Sudan"
"161","Japan"
"162","Us Virgin Islands"
"163","Belarus"
"164","Curacao"
"165","Mauritius"
"166","Albania"
"167","Trinidad And Tobago"
"168","New Zealand"
"169","Senegal"
"170","Macedonia"
"171","Ethiopia"
"172","Egypt"
"173","Bolivia"
"174","Malta"
"175","Saudi Arabia"
"176","Cape Verde"
"177","Pakistan"
"178","Gambia"
"179","Ireland"
"180","Qatar"
"181","Slovakia"
"182","France"
"183","Lithuania"
"184","Serbia"
"185","Rwanda"
"186","Saint Kitts And Nevis"
"187","Bangladesh"
"188","Barbados"
"189","Nicaragua"
"190","Norway"
"191","Botswana"
"192","Macao"
"193","Denmark"
"194","Dominican Republic"
"195","Mexico"
"196","Uganda"
"197","Suriname"
"198","Greenland"
"199","Antigua And Barbuda"
